vehicle_id,timestamp,test,location,velocity,calculated_speed,risk_level,anomalies,lidar_points,camera_frames,imu_data,gps_data,weather_conditions,system_status
unknown,2025-07-26T00:54:15.295648,data,,,,,,,,,,,
unknown,2025-07-26T00:54:15.295648,data,,,,,,,,,,,
AV_005,1753463455.869576,,"{'latitude': 37.771029841005955, 'longitude': -122.4142990721272}","{'x': 13.826976153521972, 'y': 11.071169758089546, 'z': 0}",29.170287784557562,low,[],,,,,,
AV_004,1753463455.869576,,"{'latitude': 37.77525219119331, 'longitude': -122.41473371365322}","{'x': 1.1223516122268418, 'y': 2.684892683440392, 'z': 0}",27.695486654087897,low,[],,,,,,
AV_003,1753463455.869576,,"{'latitude': 37.76734586391868, 'longitude': -122.41776816805194}","{'x': 18.424227219316624, 'y': 19.33523922487901, 'z': 0}",21.436158802079404,medium,[],,,,,,
AV_002,1753463455.869576,,"{'latitude': 37.77095989718253, 'longitude': -122.42633612979964}","{'x': 19.02801354575137, 'y': 2.163552394317849, 'z': 0}",10.189531293893534,low,[],,,,,,
AV_001,1753463455.869576,,"{'latitude': 37.778779543414466, 'longitude': -122.42207720830508}","{'x': 3.2809003596137742, 'y': 7.864852272531708, 'z': 0}",20.081054064101217,low,[],,,,,,
AV_005,1753463454.869576,,"{'latitude': 37.77043630168367, 'longitude': -122.42884313669451}","{'x': 7.027388086431849, 'y': 3.3014953764340005, 'z': 0}",16.70998478554261,medium,[],,,,,,
AV_004,1753463454.869576,,"{'latitude': 37.780649641146965, 'longitude': -122.42907148397765}","{'x': 6.1142716825098375, 'y': 14.180434924158561, 'z': 0}",14.136330649313834,medium,[],,,,,,
AV_003,1753463454.869576,,"{'latitude': 37.772865217297564, 'longitude': -122.4182926962911}","{'x': 6.8531631475627375, 'y': 18.16080876146234, 'z': 0}",27.789196903389442,low,[],,,,,,
AV_002,1753463454.869576,,"{'latitude': 37.76853093756796, 'longitude': -122.4266593539343}","{'x': 5.2418454232047935, 'y': 9.284220298502976, 'z': 0}",25.571934889668363,medium,[],,,,,,
AV_001,1753463454.869576,,"{'latitude': 37.77863283777315, 'longitude': -122.42071099099495}","{'x': 8.774510805365207, 'y': 12.8567772734875, 'z': 0}",12.26850872551438,low,[],,,,,,
